ID,Nombre,P_comestible,Energia_kcal,Agua_g,Alcohol_g,Proteinas_g,HC_g,Almidon_g,Azucares_sencillos_g,Azucares_libres_g,Fibra_g,Grasa_total_g,AGS_g,AGM_g,AGP_g,Colesterol_mg,VitA_ug,Retinol_ug,Carotenoides_ug,VitD_ug,VitE_mg,VitK_ug,VitB1_mg,VitB2_mg,Niacina_mg,VitB6_mg,Folato_ug,VitB12_ug,VitC_mg,Biotina_ug,Pantotenico_mg,Calcio_mg,Fosforo_mg,Magnesio_mg,Hierro_mg,Sodio_mg,Cinc_mg,Iodo_ug,Manganeso_mg,Potasio_mg,Selenio_ug,Cobre_mg
010126,Sémola de trigo,1.0,351.0,10.1,0.0,12.7,69.0,68.7,0.32,0.0,7.2,1.1,0.15,0.12,0.43,0.0,0.0,0.0,,0.0,0.26,98.2,,,,,,,,,,,,,,,,,,,,
010201,Barrita de cereales con frutas rojas,1.0,392.0,7.5,0.0,8.0,78.0,38.0,39.0,34.6,1.5,5.0,2.0,0.05,0.1,0.0,1.8,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
010202,Barrita de cereales con melocotón y albaricoque,1.0,403.0,7.0,0.0,7.0,77.0,38.0,38.0,33.6,2.0,7.0,2.0,0.86,3.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
010203,Barrita de cereales con pepitas de chocolate,1.0,350.0,20.5,0.0,9.0,62.0,37.0,25.0,20.6,1.5,7.0,3.5,2.2,0.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
010204,Barrita de cereales integrales,1.0,393.0,8.5,0.0,8.0,76.0,41.0,35.0,30.6,1.5,6.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
010205,Barrita de fibra y chocolate,1.0,414.0,7.0,0.0,7.0,51.0,28.0,23.0,18.6,19.0,16.0,5.0,5.7,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
010206,Bizcocho de fruta y fibra,1.0,383.0,16.0,0.0,4.0,58.0,20.0,38.0,31.1,9.0,13.0,1.5,6.7,3.4,,7.7,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
010207,Cereales (almohadillas ricas en fibra),1.0,408.0,8.5,0.0,7.5,63.0,28.0,35.0,18.6,7.0,14.0,5.0,3.5,5.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
010208,Cereales (copos ricos en fibra),1.0,356.0,6.0,0.0,10.0,67.0,45.0,22.0,12.0,15.0,2.0,0.5,,,0.0,,,,4.2,,,,,,,,,,,,,,,,,,,,,,
010209,Cd  con base de arroz,1.0,388.0,4.5,0.0,7.0,86.0,78.0,8.0,0.0,1.0,1.5,0.59,0.2,0.61,0.0,464.0,464.0,0.0,4.2,0.6,0.1,,,,,,,,,,,,,,,,,,,,
010210,Cd  con base de arroz y chocolate,1.0,388.0,5.0,0.0,5.0,85.0,46.0,39.0,31.0,2.5,2.5,1.5,0.31,0.18,0.0,464.0,464.0,0.0,4.2,0.62,0.1,,,,,,,,,,,,,,,,,,,,
010211,Cd  con base de arroz y trigo integral,1.0,375.0,6.0,0.0,16.0,74.0,57.0,17.0,9.0,3.0,1.0,0.017,0.017,0.052,0.0,515.0,515.0,0.0,8.3,0.55,1.1,,,,,,,,,,,,,,,,,,,,
010212,"Cd  con base de arroz, trigo integral, frutas rojas",1.0,390.0,2.0,0.0,14.0,79.5,61.5,18.0,10.0,3.5,1.0,0.3,0.2,0.4,0.0,515.0,515.0,0.0,8.3,0.55,1.1,,,,,,,,,,,,,,,,,,,,
010213,Cd  con base de avena,1.0,349.0,12.9,0.0,13.8,54.4,53.0,7.5,0.0,5.6,7.2,1.3,2.6,3.1,0.0,0.0,0.0,0.0,0.0,1.5,4.1,,,,,,,,,,,,,,,,,,,,
010214,Cd  con base de avena integral tostada y miel,1.0,388.0,6.2,0.0,8.6,75.0,52.1,22.9,22.2,4.9,4.9,0.88,1.8,2.1,0.0,0.0,0.0,0.0,0.0,1.5,4.1,,,,,,,,,,,,,,,,,,,,
010215,Cd  con base de maíz,1.0,376.0,5.7,0.0,8.0,83.0,76.0,7.0,0.0,2.5,0.8,0.23,0.12,0.25,0.0,398.0,398.0,0.0,4.2,0.34,1.1,,,,,,,,,,,,,,,,,,,,
010216,Cd  con base de maíz azucarados,1.0,361.0,6.4,0.0,4.5,83.7,51.1,32.6,28.7,1.5,0.6,0.2,0.09,0.26,0.0,398.0,398.0,0.0,4.2,0.13,1.1,,,,,,,,,,,,,,,,,,,,
010219,Cd  con base de trigo y chocolate,1.0,364.0,4.0,0.0,8.0,75.0,48.0,27.0,25.0,4.5,2.5,1.1,0.28,0.32,0.0,566.0,566.0,0.0,4.2,0.5,2.0,,,,,,,,,,,,,,,,,,,,
010220,Cd  con base de trigo y frutas,1.0,348.0,6.0,0.0,10.0,65.0,46.1,18.9,16.9,15.0,2.0,0.3,0.24,1.4,0.0,546.0,546.0,0.0,4.2,4.2,2.0,,,,,,,,,,,,,,,,,,,,
010221,Cd  con base de trigo y miel,1.0,387.0,3.3,0.0,7.0,84.0,41.0,43.0,41.0,4.0,1.7,0.4,0.18,1.1,0.0,566.0,566.0,0.0,4.2,0.5,2.0,,,,,,,,,,,,,,,,,,,,
010222,Cd  de trigo integral relleno de pasas,1.0,358.0,8.5,0.0,9.0,71.5,48.3,23.3,21.3,9.0,2.0,0.3,0.24,1.4,0.0,546.0,546.0,0.0,4.2,4.2,2.0,,,,,,,,,,,,,,,,,,,,
010223,Cd  rellenos de chocolate,1.0,436.0,4.9,0.0,7.5,66.6,34.3,32.3,27.9,7.0,14.0,5.0,3.5,5.5,,0.0,0.0,0.0,,6.2,,,,,,,,,,,,,,,,,,,,,
010224,Cd  salvado de trigo completo,1.0,338.0,6.0,0.0,13.0,48.0,46.0,2.0,0.0,29.0,4.0,0.87,0.59,2.4,0.0,525.0,525.0,0.0,3.1,2.2,5.2,,,,,,,,,,,,,,,,,,,,
010225,Cd  variados con miel,1.0,379.0,7.3,0.0,5.5,80.7,52.7,28.0,23.6,3.4,3.0,1.8,0.15,0.68,0.0,566.0,566.0,0.0,4.2,0.5,2.0,,,,,,,,,,,,,,,,,,,,
010226,Cd  variados integrales con miel,1.0,382.0,4.9,0.0,8.0,77.0,42.0,35.0,30.6,7.0,3.1,0.5,0.97,1.6,0.0,283.0,283.0,0.0,4.2,1.0,3.1,,,,,,,,,,,,,,,,,,,,
010228,Cereales malteados en polvo,1.0,343.0,9.3,0.0,5.7,73.7,68.2,5.5,4.8,10.9,0.4,0.1,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
010229,Malta,1.0,365.0,9.4,0.0,11.2,73.1,72.4,0.66,0.0,4.2,2.1,0.32,0.24,0.81,0.0,1.8,0.0,11.0,0.0,2.2,2.8,,,,,,,,,,,,,,,,,,,,
010230,Muesli,1.0,395.0,11.0,0.0,9.0,61.0,42.0,19.0,14.6,8.0,11.0,2.5,3.4,1.8,0.0,164.0,164.0,0.0,4.3,2.9,3.1,,,,,,,,,,,,,,,,,,,,
010231,Snacks bajos en calorías de chocolate,1.0,332.0,28.0,0.0,9.0,50.0,25.0,25.0,20.6,3.0,10.0,4.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
010232,Tortita de arroz inflado,1.0,371.0,10.3,0.0,8.5,75.0,74.4,0.6,0.0,2.7,3.5,0.7,1.2,1.6,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
010233,Tortita de arroz integral,1.0,394.0,2.9,0.0,8.6,80.3,79.7,0.6,0.0,5.0,3.2,0.6,0.9,1.1,0.2,0.17,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
010234,Tortita de arroz integral tipo1,1.0,369.0,8.5,0.0,7.5,76.5,75.9,0.6,0.0,5.0,2.5,0.58,0.83,0.92,,0.17,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
010235,Tortita de maíz,1.0,384.0,4.2,0.0,8.1,81.5,58.0,23.5,20.7,1.9,2.4,0.42,0.76,0.93,0.0,70.0,69.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,
010301,Colines,1.0,414.0,3.9,0.0,11.2,77.7,75.1,2.6,0.0,1.0,6.2,0.6,,,0.0,0.0,0.0,0.0,0.0,0.01,3.0,,,,,,,,,,,,,,,,,,,,
010302,Masa de hojaldre congelada,1.0,544.0,8.4,0.0,7.4,41.3,39.4,1.9,0.0,1.5,38.5,5.5,8.3,22.2,1.0,0.0,0.0,0.0,1.0,2.4,14.4,,,,,,,,,,,,,,,,,,,,
010303,Masa quebrada,1.0,372.0,32.8,0.0,6.1,39.3,37.8,1.5,1.5,0.9,20.9,8.8,,,114.0,35.8,35.5,1.6,0.52,1.0,17.9,,,,,,,,,,,,,,,,,,,,
010304,Pan blanco,1.0,243.0,39.6,0.0,8.3,47.0,42.2,4.8,0.0,3.5,1.6,0.39,0.28,0.34,0.0,0.33,0.0,2.0,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,,,
010305,Pan blanco sin sal,1.0,265.0,33.5,0.0,8.0,53.9,52.0,1.9,0.0,3.5,1.1,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.18,1.9,,,,,,,,,,,,,,,,,,,,
010306,Pan blanco tipo baguette,1.0,273.0,31.5,0.0,8.0,55.9,53.6,2.3,0.0,3.5,1.2,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.18,1.9,,,,,,,,,,,,,,,,,,,,
010307,Pan blanco tostado,1.0,389.0,6.6,0.0,11.5,73.4,68.2,5.2,0.0,3.9,4.6,0.5,1.9,0.98,0.0,0.0,0.0,0.0,0.0,0.01,3.0,,,,,,,,,,,,,,,,,,,,
010308,Pan blanco tostado sin sal,1.0,389.0,6.6,0.0,11.5,73.4,68.2,5.2,0.0,5.2,3.9,0.5,1.8,0.82,1.0,0.0,0.0,0.0,0.0,0.01,3.0,,,,,,,,,,,,,,,,,,,,
010309,Pan de avena,1.0,275.0,34.7,0.0,8.4,48.5,37.9,10.6,5.7,4.0,4.4,0.7,1.6,1.7,0.0,2.0,2.0,0.0,,0.61,,,,,,,,,,,,,,,,,,,,,
010310,Pan de cebada,1.0,248.0,41.6,0.0,6.4,43.5,37.8,5.7,0.0,4.0,4.5,0.7,0.61,1.6,0.0,0.83,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
010311,Pan de centeno,1.0,245.0,39.9,0.0,8.5,42.5,38.7,3.9,0.0,5.8,3.3,0.63,1.3,0.8,0.0,0.0,0.0,0.0,0.0,0.33,1.2,,,,,,,,,,,,,,,,,,,,
010312,Pan de molde,1.0,350.0,37.1,0.0,9.3,46.9,42.5,4.4,0.0,1.5,13.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,
010313,Pan de molde integral,1.0,239.0,41.0,0.0,10.0,40.0,36.5,3.5,0.0,6.0,3.0,0.7,1.4,0.8,0.0,0.0,0.0,,0.0,0.66,3.0,,,,,,,,,,,,,,,,,,,,
010314,Pan de pasas,1.0,269.0,36.3,0.0,8.3,49.6,38.6,11.0,4.1,2.8,3.0,0.63,0.54,1.4,0.0,0.0,0.0,0.0,0.68,0.21,0.5,,,,,,,,,,,,,,,,,,,,
010315,Pan de perrito,1.0,271.0,36.2,0.0,7.5,47.5,45.2,2.3,0.0,4.1,4.7,1.0,1.4,1.3,0.0,0.01,0.01,0.0,0.0,0.26,3.0,,,,,,,,,,,,,,,,,,,,
010316,Pan de pita,1.0,274.0,31.8,0.0,9.1,55.7,54.4,1.3,0.0,2.2,1.2,0.17,0.11,0.54,0.0,8.3,,50.0,0.0,0.074,,,,,,,,,,,,,,,,,,,,,
010317,Pan de trigo y centeno,1.0,243.0,37.8,0.0,6.7,49.0,46.0,3.0,0.0,5.5,1.0,0.13,0.1,0.47,30.7,0.0,0.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,,,,
010318,Pan de Viena,1.0,268.0,34.9,0.0,10.8,49.7,45.1,4.6,0.0,2.2,2.4,0.53,0.36,0.86,0.0,0.0,0.0,0.0,0.0,0.28,0.7,,,,,,,,,,,,,,,,,,,,
010319,Pan fajitas,1.0,315.0,26.6,0.0,8.6,53.0,51.5,1.5,0.0,5.4,6.4,3.1,,,0.0,0.0,0.0,0.0,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,,,
010320,Pan integral,1.0,259.0,36.1,0.0,10.9,44.0,39.5,4.5,0.0,6.0,3.0,0.54,0.41,1.2,0.0,0.0,0.0,0.0,0.0,0.18,3.4,,,,,,,,,,,,,,,,,,,,
010321,Pan integral tostado,1.0,385.0,7.0,0.0,13.0,62.0,58.0,4.0,0.0,11.0,7.0,,,,0.0,0.33,0.0,2.0,0.0,0.2,3.0,,,,,,,,,,,,,,,,,,,,
010322,Pan sin gluten,1.0,242.0,43.9,0.0,4.3,42.3,38.7,3.5,0.0,4.3,5.2,0.98,2.0,0.52,0.0,0.0,0.0,0.0,0.0,0.6,0.3,,,,,,,,,,,,,,,,,,,,
010323,Pan tipo hamburguesa,1.0,271.0,36.2,0.0,7.5,47.5,45.2,2.3,0.0,4.1,4.7,1.0,1.4,1.3,0.0,0.01,0.01,0.0,0.0,0.26,3.0,,,,,,,,,,,,,,,,,,,,
010324,Pan tipo picatoste con omega,3.0,1.0,524.0,5.2,0.0,10.2,46.9,46.3,0.6,0.0,6.2,31.5,4.4,21.0,6.1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
010325,Panecillos hechos con aceite de oliva,1.0,305.0,27.7,0.0,8.0,56.6,49.9,2.1,0.0,3.2,4.5,0.75,3.2,0.47,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
010326,Picatostes,1.0,371.0,7.9,0.0,11.0,75.6,71.6,4.0,0.0,3.5,2.0,0.4,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
010401,Cuscús,1.0,377.0,4.2,0.0,12.8,77.4,77.4,0.0,0.0,5.0,0.64,0.12,0.089,0.25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
010402,Pasta,1.0,359.0,9.7,0.0,12.8,70.9,68.3,2.6,0.0,5.0,1.6,0.23,0.19,0.65,0.0,0.0,0.0,0.0,0.0,0.13,0.5,,,,,,,,,,,,,,,,,,,,
010403,Pasta al huevo,1.0,374.0,9.3,0.0,12.4,69.9,64.5,1.9,0.0,3.4,4.2,0.9,1.5,0.4,30.0,63.0,63.0,0.0,0.13,0.21,0.5,,,,,,,,,,,,,,,,,,,,
010404,Pasta de colores,1.0,352.0,10.1,0.0,13.1,70.6,68.4,3.8,0.0,4.3,1.0,0.15,0.12,0.43,0.0,8.0,0.0,48.0,0.0,0.1,0.5,,,,,,,,,,,,,,,,,,,,
010405,Pasta fresca cocida,1.0,130.0,68.6,0.0,5.2,24.9,24.9,0.0,0.0,,1.1,0.15,0.12,0.43,33.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
010406,Pasta integral,1.0,352.0,10.7,0.0,13.1,63.7,61.4,2.3,0.0,9.3,2.9,0.41,0.3,1.3,0.0,0.0,0.0,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,
010407,Pasta rellena de carne hervida,1.0,104.0,77.4,0.0,4.7,12.7,12.7,0.0,0.0,1.8,3.4,1.3,1.6,0.3,23.0,0.0,0.0,0.0,0.1,0.3,0.5,,,,,,,,,,,,,,,,,,,,
010408,Pasta rellena de queso hervida,1.0,151.0,68.2,0.0,9.5,16.3,15.3,1.0,0.0,0.9,5.1,2.0,2.3,0.5,26.0,38.0,38.0,,0.1,0.3,0.5,,,,,,,,,,,,,,,,,,,,
020101,Altramuz seco,1.0,394.0,10.4,0.0,36.2,40.4,,,0.0,,9.7,1.2,3.9,2.4,0.0,6.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,
020102,Garbanzo,1.0,341.0,11.0,0.0,20.8,44.3,41.9,2.4,0.0,15.5,5.5,0.36,1.6,2.5,0.0,33.0,0.0,198.0,0.0,0.82,264.0,,,,,,,,,,,,,,,,,,,,
020103,Guisante seco,1.0,302.0,15.2,0.0,22.9,41.2,38.1,3.1,0.0,16.7,1.4,0.26,0.11,0.79,0.0,42.0,0.0,252.0,0.0,0.39,81.0,,,,,,,,,,,,,,,,,,,,
020104,Haba seca,1.0,307.0,10.4,0.0,26.1,33.3,30.8,2.5,0.0,25.0,2.1,0.3,0.3,1.1,0.0,5.3,0.0,32.0,0.0,0.09,19.0,,,,,,,,,,,,,,,,,,,,
020105,Harina de algarrobo,1.0,300.0,3.6,0.0,4.6,49.1,0.0,49.1,0.0,39.8,0.65,0.09,0.02,0.22,0.0,1.3,0.0,8.0,0.0,0.63,,,,,,,,,,,,,,,,,,,,,
020106,Judía blanca,1.0,284.0,15.5,0.0,21.1,34.7,32.7,2.0,0.0,23.2,1.6,0.43,0.14,0.69,0.0,67.0,0.0,400.0,0.0,0.21,19.0,,,,,,,,,,,,,,,,,,,,
020107,Judía pinta,1.0,292.0,11.8,0.0,23.6,35.1,32.9,2.2,0.0,24.9,0.83,0.12,0.064,0.46,0.0,67.0,0.0,400.0,0.0,0.22,19.0,,,,,,,,,,,,,,,,,,,,
020108,Lenteja,1.0,305.0,14.8,0.0,23.2,40.6,39.5,1.1,0.0,17.0,1.7,0.23,0.3,0.84,0.0,10.0,0.0,60.0,0.0,1.8,123.0,,,,,,,,,,,,,,,,,,,,
020109,Soja,1.0,373.0,14.0,0.0,34.7,6.3,0.62,5.7,0.0,22.0,18.3,2.4,4.1,10.7,0.0,63.4,0.0,380.0,0.0,1.5,47.0,,,,,,,,,,,,,,,,,,,,
020201,Cocido madrileño en conserva,1.0,139.0,74.2,0.0,6.9,9.6,8.9,0.7,0.0,1.5,7.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020202,Garbanzo en conserva,1.0,120.0,71.7,0.0,7.2,14.1,13.7,0.4,0.0,4.1,2.9,0.31,0.72,1.3,0.0,3.5,0.0,21.0,0.0,1.6,132.0,,,,,,,,,,,,,,,,,,,,
020203,Judía blanca en conserva,1.0,101.0,72.9,0.0,6.7,15.7,14.7,1.0,0.0,4.4,0.3,0.07,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.2,9.5,,,,,,,,,,,,,,,,,,,,
020204,Judía pinta en conserva,1.0,84.2,76.9,0.0,8.4,9.9,9.4,0.5,0.0,4.6,0.2,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.24,9.5,,,,,,,,,,,,,,,,,,,,
020205,Lenteja en conserva,1.0,109.0,71.9,0.0,8.8,14.9,14.5,0.4,0.0,3.8,0.7,0.1,0.1,0.3,0.0,0.0,0.0,,0.0,0.0,61.5,,,,,,,,,,,,,,,,,,,,
020301,Batido fermentado de soja,1.0,82.4,85.9,0.0,5.0,3.9,0.0,3.9,3.9,0.0,5.2,0.6,1.0,2.6,0.0,,,,0.0,0.74,,,,,,,,,,,,,,,,,,,,,
020302,Bebida de soja,1.0,54.8,87.9,0.0,3.2,5.8,0.0,5.8,5.8,1.3,1.8,0.21,0.31,0.8,0.0,2.0,0.0,12.0,0.0,0.74,,,,,,,,,,,,,,,,,,,,,
020303,Brote de soja,1.0,54.6,86.4,0.0,5.5,4.7,2.3,2.3,0.0,2.4,1.0,0.14,0.23,0.58,0.0,4.2,0.0,25.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,
020304,Fideos de soja,1.0,340.0,13.1,0.0,0.09,83.2,77.0,2.0,0.0,3.3,0.07,0.0,0.016,0.041,,8.3,,50.0,,,,,,,,,,,,,,,,,,,,,,,
020305,Hamburguesa vegetal,1.0,192.0,57.4,0.0,15.7,15.7,13.8,1.9,0.0,4.9,6.3,1.4,1.8,2.0,5.0,1.7,0.0,10.0,0.0,0.23,4.2,,,,,,,,,,,,,,,,,,,,
020306,Harina de soja,1.0,475.0,5.0,0.0,36.8,23.5,10.8,12.7,0.0,11.2,23.5,2.9,11.4,4.5,0.0,0.0,0.0,0.0,0.0,1.5,70.0,,,,,,,,,,,,,,,,,,,,
020307,Lecitina de soja,1.0,501.0,41.1,0.0,0.0,5.9,3.0,2.9,0.0,,53.0,13.0,5.0,35.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
020308,"Lentejas, brotes",1.0,129.0,67.7,0.0,9.0,22.1,,,0.0,,0.55,0.057,0.1,0.22,0.0,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
020309,Miso,1.0,218.0,43.0,0.0,11.7,26.5,20.3,6.2,0.0,5.4,6.0,1.1,1.2,3.2,0.0,8.7,0.0,52.0,0.0,0.01,29.3,,,,,,,,,,,,,,,,,,,,
020310,Salchicha vegetal,1.0,283.0,50.4,0.0,18.5,9.8,9.8,0.0,0.0,2.8,18.2,2.9,4.5,9.3,0.0,0.0,0.0,0.0,0.0,2.1,,,,,,,,,,,,,,,,,,,,,
020311,Tempeh,1.0,104.0,76.0,0.0,18.0,3.5,3.0,0.5,0.0,,1.5,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
020312,Tofu,1.0,89.4,83.5,0.0,8.1,3.3,1.6,1.6,0.0,0.3,4.8,0.69,1.1,2.7,0.0,2.2,0.0,12.9,0.0,0.95,,,,,,,,,,,,,,,,,,,,,
